ダウンロードした時刻：2021/02/03 17:23:01

,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京
2019/12/20,10.6,8,1,16.1,8,1,6.0,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴,8,1,曇,8,1
2019/12/21,8.1,8,1,9.5,8,1,6.5,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,曇,8,1,曇一時晴,8,1
2019/12/22,6.8,8,1,9.0,8,1,5.1,8,1,16.5,0,8,1,0,1,8,1,0,1,8,1,曇後雨,8,1,雨,8,1
2019/12/23,6.8,8,1,12.0,8,1,3.5,8,1,13.5,0,8,1,0,1,8,1,0,1,8,1,晴時々曇,8,1,晴,8,1
2019/12/24,8.2,8,1,12.6,8,1,5.0,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴後薄曇,8,1,曇時々晴,8,1
2019/12/25,5.9,8,1,8.9,8,1,4.2,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,曇後一時晴,8,1,曇,8,1
2019/12/26,7.8,8,1,11.5,8,1,3.8,8,1,0,1,8,1,0,1,8,1,0,1,8,1,曇,8,1,曇時々雨,8,1
2019/12/27,8.7,8,1,13.7,8,1,4.5,8,1,0.5,0,8,1,0,1,8,1,0,1,8,1,晴,8,1,快晴,8,1
2019/12/28,6.8,8,1,10.9,8,1,3.8,8,1,0,1,8,1,0,1,8,1,0,1,8,1,快晴,8,1,晴一時曇,8,1
2019/12/29,7.0,8,1,10.9,8,1,2.2,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴後一時曇,8,1,曇,8,1
2019/12/30,6.7,8,1,8.8,8,1,5.1,8,1,0.5,0,8,1,0,1,8,1,0,1,8,1,雨時々曇,8,1,曇,8,1
2019/12/31,8.2,8,1,16.5,8,1,3.7,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴,8,1,晴後一時曇,8,1
2020/1/1,5.5,8,1,10.2,8,1,3.2,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴,8,1,快晴,8,1
2020/1/2,6.2,8,1,11.3,8,1,1.9,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴一時曇,8,1,晴,8,1
2020/1/3,6.1,8,1,12.0,8,1,1.4,8,1,0,1,8,1,0,1,8,1,0,1,8,1,快晴,8,1,快晴,8,1
2020/1/4,7.2,8,1,12.2,8,1,3.6,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,曇時々晴,8,1,晴一時雨、みぞれを伴う,8,1
2020/1/5,5.4,8,1,10.2,8,1,0.6,8,1,1.0,0,8,1,0,1,8,1,0,1,8,1,快晴,8,1,快晴,8,1
2020/1/6,7.5,8,1,12.2,8,1,3.1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴後一時曇,8,1,曇,8,1
2020/1/7,5.7,8,1,8.2,8,1,3.9,8,1,2.0,0,8,1,0,1,8,1,0,1,8,1,曇後雨,8,1,雨後曇,8,1
2020/1/8,5.2,8,1,7.6,8,1,3.8,8,1,11.5,0,8,1,0,1,8,1,0,1,8,1,曇一時雨,8,1,快晴,8,1
2020/1/9,10.6,8,1,14.9,8,1,4.6,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,晴後一時曇,8,1,曇時々雨,8,1
2020/1/10,8.4,8,1,12.6,8,1,5.5,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,晴,8,1,晴後曇,8,1
2020/1/11,7.0,8,1,10.5,8,1,5.2,8,1,0,1,8,1,0,1,8,1,0,1,8,1,曇後晴,8,1,晴,8,1
2020/1/12,6.7,8,1,10.2,8,1,2.5,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,曇後一時雨,8,1,曇一時晴,8,1
2020/1/13,8.5,8,1,13.7,8,1,4.6,8,1,0,1,8,1,0,1,8,1,0,1,8,1,快晴,8,1,晴一時曇,8,1
2020/1/14,8.4,8,1,13.5,8,1,4.7,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴後一時曇,8,1,曇一時晴後雨,8,1
2020/1/15,6.8,8,1,9.4,8,1,4.9,8,1,15.0,0,8,1,0,1,8,1,0,1,8,1,雨一時晴,8,1,晴後一時薄曇,8,1
2020/1/16,6.7,8,1,10.9,8,1,3.9,8,1,0,1,8,1,0,1,8,1,0,1,8,1,曇時々晴,8,1,曇時々晴,8,1
2020/1/17,7.3,8,1,11.1,8,1,3.9,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,曇,8,1,曇時々雨,8,1
2020/1/18,3.8,8,1,7.2,8,1,1.5,8,1,8.5,0,8,1,0,1,8,1,0,1,8,1,雨時々みぞれ一時雪,8,1,雨後曇一時晴,8,1
2020/1/19,6.5,8,1,11.1,8,1,1.9,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,晴後一時曇,8,1,晴一時曇,8,1
2020/1/20,7.5,8,1,14.1,8,1,2.0,8,1,0,1,8,1,0,1,8,1,0,1,8,1,快晴,8,1,晴,8,1
2020/1/21,7.4,8,1,11.8,8,1,3.9,8,1,0,1,8,1,0,1,8,1,0,1,8,1,快晴,8,1,晴後一時曇,8,1
2020/1/22,4.9,8,1,7.3,8,1,2.0,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,曇後一時晴,8,1,曇,8,1
2020/1/23,6.1,8,1,8.7,8,1,4.1,8,1,2.5,0,8,1,0,1,8,1,0,1,8,1,雨,8,1,曇,8,1
2020/1/24,9.9,8,1,13.4,8,1,7.4,8,1,0,1,8,1,0,1,8,1,0,1,8,1,曇,8,1,薄曇時々晴,8,1
2020/1/25,7.8,8,1,10.2,8,1,5.9,8,1,0,1,8,1,0,1,8,1,0,1,8,1,曇,8,1,曇後一時雨,8,1
2020/1/26,5.0,8,1,7.6,8,1,2.7,8,1,6.0,0,8,1,0,1,8,1,0,1,8,1,雨後曇,8,1,薄曇,8,1
2020/1/27,5.1,8,1,6.5,8,1,2.9,8,1,5.0,0,8,1,0,1,8,1,0,1,8,1,曇,8,1,雨時々みぞれ一時雪,8,1
2020/1/28,4.4,8,1,7.0,8,1,0.6,8,1,55.5,0,8,1,0,1,8,1,0,1,8,1,雨,8,1,大雨,8,1
2020/1/29,11.8,8,1,18.6,8,1,6.9,8,1,28.0,0,8,1,0,1,8,1,0,1,8,1,晴一時雨,8,1,晴一時曇,8,1
2020/1/30,11.7,8,1,17.5,8,1,6.8,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴,8,1,晴時々曇,8,1
2020/1/31,8.1,8,1,12.1,8,1,3.5,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴,8,1,快晴,8,1
2020/2/1,7.9,8,1,13.4,8,1,3.0,8,1,0,1,8,1,0,1,8,1,0,1,8,1,快晴,8,1,晴,8,1
2020/2/2,8.7,8,1,13.8,8,1,5.0,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴,8,1,曇後一時雨,8,1
2020/2/3,9.3,8,1,15.2,8,1,5.3,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,晴時々曇,8,1,晴時々薄曇,8,1
2020/2/4,7.9,8,1,11.4,8,1,4.8,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,曇時々晴,8,1,晴,8,1
2020/2/5,7.6,8,1,15.2,8,1,2.4,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴,8,1,晴後一時曇,8,1
2020/2/6,2.9,8,1,6.9,8,1,-0.4,8,1,0,1,8,1,0,1,8,1,0,1,8,1,快晴,8,1,快晴,8,1
2020/2/7,2.4,8,1,6.9,8,1,-2.1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,薄曇時々晴,8,1,薄曇,8,1
2020/2/8,6.2,8,1,12.7,8,1,0.7,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,晴時々曇,8,1,晴一時曇,8,1
2020/2/9,3.9,8,1,8.3,8,1,1.2,8,1,0,1,8,1,0,1,8,1,0,1,8,1,快晴,8,1,快晴,8,1
2020/2/10,4.6,8,1,10.1,8,1,-0.2,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴一時曇,8,1,快晴,8,1
2020/2/11,6.3,8,1,11.7,8,1,1.1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,快晴,8,1,晴後一時曇,8,1
2020/2/12,8.7,8,1,16.0,8,1,1.9,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,薄曇後一時晴,8,1,曇,8,1
2020/2/13,11.7,8,1,18.2,8,1,7.8,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,曇一時雨後晴,8,1,晴後一時薄曇,8,1
2020/2/14,12.0,8,1,16.0,8,1,8.5,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,曇後一時雨,8,1,晴一時曇,8,1
2020/2/15,12.4,8,1,16.2,8,1,7.6,8,1,0,1,8,1,0,1,8,1,0,1,8,1,薄曇,8,1,薄曇時々晴,8,1
2020/2/16,9.3,8,1,11.8,8,1,7.8,8,1,8.5,0,8,1,0,1,8,1,0,1,8,1,雨時々曇,8,1,雨後曇,8,1
2020/2/17,10.3,8,1,16.8,8,1,5.8,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,曇後晴,8,1,晴後一時曇,8,1
2020/2/18,7.6,8,1,12.5,8,1,2.8,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,晴,8,1,快晴,8,1
2020/2/19,8.1,8,1,13.3,8,1,3.6,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴後薄曇,8,1,薄曇時々晴,8,1
2020/2/20,9.0,8,1,13.1,8,1,4.7,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,薄曇,8,1,曇後晴,8,1
2020/2/21,10.0,8,1,14.2,8,1,5.4,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴後一時薄曇,8,1,晴後雨一時曇,8,1
2020/2/22,12.5,8,1,18.2,8,1,6.4,8,1,2.5,0,8,1,0,1,8,1,0,1,8,1,曇時々晴後一時雨,8,1,晴一時雨,8,1
2020/2/23,10.4,8,1,16.0,8,1,5.4,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴,8,1,快晴,8,1
2020/2/24,9.8,8,1,15.4,8,1,4.6,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴,8,1,晴後時々薄曇,8,1
2020/2/25,10.5,8,1,14.4,8,1,6.2,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,曇,8,1,雨時々曇,8,1
2020/2/26,8.1,8,1,9.4,8,1,7.0,8,1,3.0,0,8,1,0,1,8,1,0,1,8,1,曇時々雨,8,1,雨時々曇後晴,8,1
2020/2/27,7.0,8,1,11.9,8,1,3.6,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,晴,8,1,快晴,8,1
2020/2/28,7.0,8,1,12.4,8,1,1.9,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴後薄曇,8,1,曇,8,1
2020/2/29,9.4,8,1,14.4,8,1,5.4,8,1,1.0,0,8,1,0,1,8,1,0,1,8,1,曇一時晴,8,1,曇時々雨後一時晴,8,1
2020/3/1,12.0,8,1,17.9,8,1,6.6,8,1,0.5,0,8,1,0,1,8,1,0,1,8,1,薄曇時々晴,8,1,曇後雨,8,1
2020/3/2,7.3,8,1,11.2,8,1,5.8,8,1,10.0,0,8,1,0,1,8,1,0,1,8,1,雨,8,1,曇後晴,8,1
2020/3/3,11.3,8,1,17.8,8,1,5.3,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,晴一時薄曇,8,1,曇時々雨,8,1
2020/3/4,8.9,8,1,10.9,8,1,7.9,8,1,1.5,0,8,1,0,1,8,1,0,1,8,1,曇一時雨,8,1,曇一時雨,8,1
2020/3/5,9.2,8,1,13.7,8,1,6.1,8,1,1.0,0,8,1,0,1,8,1,0,1,8,1,晴一時曇,8,1,快晴,8,1
2020/3/6,9.4,8,1,15.1,8,1,5.4,8,1,0,1,8,1,0,1,8,1,0,1,8,1,快晴,8,1,晴後曇時々雨,8,1
2020/3/7,7.3,8,1,10.4,8,1,5.2,8,1,1.5,0,8,1,0,1,8,1,0,1,8,1,曇時々雨,8,1,雨時々曇,8,1
2020/3/8,7.2,8,1,8.9,8,1,5.6,8,1,6.0,0,8,1,0,1,8,1,0,1,8,1,雨,8,1,曇後時々晴,8,1
2020/3/9,13.1,8,1,19.6,8,1,7.6,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,曇一時晴,8,1,曇後一時雨,8,1
2020/3/10,14.7,8,1,18.2,8,1,12.6,8,1,24.5,0,8,1,0,1,8,1,0,1,8,1,雨時々曇,8,1,晴一時雨後曇,8,1
2020/3/11,15.3,8,1,21.4,8,1,9.8,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,晴後一時雨,8,1,晴,8,1
2020/3/12,11.4,8,1,16.7,8,1,7.0,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴,8,1,晴後薄曇,8,1
2020/3/13,12.5,8,1,18.7,8,1,6.8,8,1,0,1,8,1,0,1,8,1,0,1,8,1,薄曇,8,1,晴後一時曇,8,1
2020/3/14,5.5,8,1,12.3,8,1,1.3,8,1,25.0,0,8,1,0,1,8,1,0,1,8,1,雨後雪時々みぞれ,8,1,曇一時雨後晴,8,1
2020/3/15,7.1,8,1,12.0,8,1,1.8,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴後一時曇,8,1,晴一時薄曇,8,1
2020/3/16,7.1,8,1,14.4,8,1,3.6,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴一時曇,8,1,快晴,8,1
2020/3/17,7.7,8,1,12.7,8,1,2.3,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴時々曇,8,1,晴後一時曇,8,1
2020/3/18,11.9,8,1,18.4,8,1,4.8,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,快晴,8,1,快晴,8,1
2020/3/19,14.6,8,1,22.0,8,1,6.5,8,1,1.0,0,8,1,0,1,8,1,0,1,8,1,快晴,8,1,曇時々晴一時雨,8,1
2020/3/20,14.5,8,1,19.4,8,1,9.5,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,晴一時曇,8,1,快晴,8,1
2020/3/21,13.8,8,1,21.0,8,1,7.6,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴,8,1,晴後薄曇,8,1
2020/3/22,16.8,8,1,23.7,8,1,10.5,8,1,0,1,8,1,0,1,8,1,0,1,8,1,薄曇時々晴,8,1,曇時々晴,8,1
2020/3/23,10.3,8,1,14.0,8,1,7.7,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,曇一時雨後時々晴,8,1,晴時々曇後一時雨,8,1
2020/3/24,8.2,8,1,12.6,8,1,4.7,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,快晴,8,1,快晴,8,1
2020/3/25,10.0,8,1,16.0,8,1,3.4,8,1,0,1,8,1,0,1,8,1,0,1,8,1,快晴,8,1,曇時々晴,8,1
2020/3/26,13.0,8,1,20.0,8,1,7.5,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴,8,1,晴,8,1
2020/3/27,16.2,8,1,22.8,8,1,9.1,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,曇,8,1,曇,8,1
2020/3/28,15.5,8,1,24.6,8,1,7.4,8,1,8.5,0,8,1,0,1,8,1,0,1,8,1,曇時々雨,8,1,大雨,8,1
2020/3/29,3.6,8,1,7.7,8,1,0.7,8,1,51.5,0,8,1,1,0,8,1,1,0,8,1,雨時々雪後一時曇、みぞれを伴う,8,1,曇,8,1
2020/3/30,7.6,8,1,10.3,8,1,3.5,8,1,0,1,8,1,0,1,8,1,0,1,8,1,曇,8,1,曇,8,1
2020/3/31,9.8,8,1,12.5,8,1,8.2,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,曇時々雨,8,1,曇時々雨,8,1
2020/4/1,11.4,8,1,12.9,8,1,9.3,8,1,31.0,0,8,1,0,1,8,1,0,1,8,1,雨,8,1,雨時々曇後晴,8,1
2020/4/2,13.9,8,1,19.4,8,1,9.0,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,晴,8,1,快晴,8,1
2020/4/3,12.8,8,1,18.2,8,1,6.4,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴後薄曇,8,1,晴一時薄曇,8,1
2020/4/4,15.7,8,1,22.3,8,1,8.6,8,1,0,1,8,1,0,1,8,1,0,1,8,1,快晴,8,1,晴,8,1
2020/4/5,10.2,8,1,15.9,8,1,5.6,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,曇後雨一時晴,8,1,晴後時々曇,8,1
2020/4/6,12.1,8,1,18.4,8,1,6.3,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴,8,1,晴一時薄曇,8,1
2020/4/7,12.4,8,1,18.0,8,1,7.9,8,1,0,1,8,1,0,1,8,1,0,1,8,1,薄曇,8,1,快晴,8,1
2020/4/8,14.3,8,1,20.2,8,1,7.9,8,1,0,1,8,1,0,1,8,1,0,1,8,1,快晴,8,1,快晴,8,1
2020/4/9,13.3,8,1,20.2,8,1,8.0,8,1,0.5,0,8,1,0,1,8,1,0,1,8,1,晴後曇,8,1,曇時々雨,8,1
2020/4/10,11.2,8,1,17.2,8,1,7.4,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴一時薄曇,8,1,晴,8,1
2020/4/11,11.4,8,1,17.0,8,1,6.8,8,1,0.5,0,8,1,0,1,8,1,0,1,8,1,晴後時々曇,8,1,雨時々曇,8,1
2020/4/12,10.3,8,1,14.6,8,1,7.4,8,1,6.5,0,8,1,0,1,8,1,0,1,8,1,曇一時雨,8,1,雨,8,1
2020/4/13,8.0,8,1,10.1,8,1,5.4,8,1,132.0,0,8,1,0,1,8,1,0,1,8,1,大雨,8,1,雨後一時晴,8,1
2020/4/14,10.9,8,1,17.2,8,1,5.5,8,1,1.5,0,8,1,0,1,8,1,0,1,8,1,快晴,8,1,快晴,8,1
2020/4/15,13.8,8,1,20.8,8,1,5.5,8,1,0,1,8,1,0,1,8,1,0,1,8,1,薄曇一時晴,8,1,薄曇,8,1
2020/4/16,11.7,8,1,16.3,8,1,8.6,8,1,0.5,0,8,1,0,1,8,1,0,1,8,1,曇,8,1,曇時々雨,8,1
2020/4/17,12.4,8,1,17.8,8,1,8.3,8,1,0.5,0,8,1,0,1,8,1,0,1,8,1,曇時々晴,8,1,曇後雨,8,1
2020/4/18,12.9,8,1,16.2,8,1,9.8,8,1,89.5,0,8,1,0,1,8,1,0,1,8,1,大雨,8,1,晴一時曇,8,1
2020/4/19,14.7,8,1,22.5,8,1,9.0,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴,8,1,曇後時々雨,8,1
2020/4/20,9.7,8,1,10.7,8,1,8.3,8,1,15.0,0,8,1,0,1,8,1,0,1,8,1,雨,8,1,曇時々晴,8,1
2020/4/21,14.2,8,1,18.9,8,1,9.0,8,1,0,1,8,1,0,1,8,1,0,1,8,1,曇,8,1,曇時々晴,8,1
2020/4/22,13.5,8,1,19.2,8,1,8.8,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,晴後曇時々雨,8,1,曇時々雨,8,1
2020/4/23,11.9,8,1,17.0,8,1,6.6,8,1,1.0,0,8,1,0,1,8,1,0,1,8,1,晴時々薄曇,8,1,晴後時々薄曇,8,1
2020/4/24,12.2,8,1,18.4,8,1,6.9,8,1,0.5,0,8,1,0,1,8,1,0,1,8,1,晴一時曇,8,1,晴一時雨,8,1
2020/4/25,12.7,8,1,18.8,8,1,5.3,8,1,0,1,8,1,0,1,8,1,0,1,8,1,快晴,8,1,快晴,8,1
2020/4/26,18.3,8,1,24.2,8,1,11.5,8,1,0,1,8,1,0,1,8,1,0,1,8,1,薄曇時々晴,8,1,曇,8,1
2020/4/27,12.8,8,1,17.8,8,1,8.5,8,1,12.5,0,8,1,0,1,8,1,0,1,8,1,曇後雨,8,1,雨後晴時々曇,8,1
2020/4/28,12.3,8,1,19.1,8,1,8.0,8,1,5.0,0,8,1,0,1,8,1,0,1,8,1,曇後一時雨、雷を伴う,8,1,曇時々晴,8,1
2020/4/29,15.1,8,1,21.7,8,1,8.9,8,1,0,1,8,1,0,1,8,1,0,1,8,1,快晴,8,1,快晴,8,1
2020/4/30,18.0,8,1,23.9,8,1,11.7,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴,8,1,快晴,8,1
2020/5/1,19.9,8,1,25.5,8,1,16.2,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴時々薄曇,8,1,快晴,8,1
2020/5/2,20.6,8,1,26.9,8,1,15.3,8,1,0,1,8,1,0,1,8,1,0,1,8,1,快晴,8,1,晴後一時薄曇,8,1
2020/5/3,20.7,8,1,25.8,8,1,16.5,8,1,0,1,8,1,0,1,8,1,0,1,8,1,曇,8,1,曇時々雨,8,1
2020/5/4,19.3,8,1,22.2,8,1,17.3,8,1,2.0,0,8,1,0,1,8,1,0,1,8,1,雨後曇,8,1,晴時々曇,8,1
2020/5/5,21.3,8,1,28.4,8,1,16.4,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,曇時々晴,8,1,曇後時々雨,8,1
2020/5/6,15.8,8,1,17.3,8,1,14.6,8,1,19.0,0,8,1,0,1,8,1,0,1,8,1,曇時々雨、雷を伴う,8,1,曇時々雨、雷を伴う,8,1
2020/5/7,16.5,8,1,22.5,8,1,11.0,8,1,0.5,0,8,1,0,1,8,1,0,1,8,1,晴,8,1,晴後時々薄曇,8,1
2020/5/8,16.7,8,1,22.1,8,1,11.1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴一時曇,8,1,薄曇時々晴,8,1
2020/5/9,18.3,8,1,23.0,8,1,13.9,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,曇,8,1,曇時々雨,8,1
2020/5/10,21.5,8,1,25.7,8,1,17.7,8,1,1.0,0,8,1,0,1,8,1,0,1,8,1,曇時々雨,8,1,曇一時雨,8,1
2020/5/11,22.9,8,1,28.1,8,1,20.2,8,1,0.5,0,8,1,0,1,8,1,0,1,8,1,晴時々曇,8,1,晴後一時曇,8,1
2020/5/12,21.7,8,1,26.5,8,1,19.1,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,曇一時雨,8,1,曇後時々晴,8,1
2020/5/13,22.3,8,1,28.7,8,1,16.8,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴,8,1,晴,8,1
2020/5/14,20.8,8,1,26.2,8,1,13.8,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴後薄曇,8,1,晴時々薄曇,8,1
2020/5/15,21.5,8,1,26.5,8,1,15.2,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,薄曇,8,1,曇,8,1
2020/5/16,18.5,8,1,21.7,8,1,16.4,8,1,24.0,0,8,1,0,1,8,1,0,1,8,1,雨一時曇,8,1,雨後曇,8,1
2020/5/17,21.6,8,1,28.2,8,1,15.8,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,晴,8,1,晴後曇,8,1
2020/5/18,19.2,8,1,20.1,8,1,18.7,8,1,2.0,0,8,1,0,1,8,1,0,1,8,1,雨時々曇,8,1,大雨,8,1
2020/5/19,17.7,8,1,19.2,8,1,13.4,8,1,54.5,0,8,1,0,1,8,1,0,1,8,1,雨,8,1,雨,8,1
2020/5/20,12.7,8,1,15.4,8,1,10.9,8,1,3.0,0,8,1,0,1,8,1,0,1,8,1,曇一時雨,8,1,曇時々雨,8,1
2020/5/21,12.7,8,1,14.8,8,1,10.7,8,1,0.5,0,8,1,0,1,8,1,0,1,8,1,曇一時雨,8,1,曇時々雨,8,1
2020/5/22,15.3,8,1,18.1,8,1,12.8,8,1,1.0,0,8,1,0,1,8,1,0,1,8,1,曇時々雨,8,1,雨時々曇,8,1
2020/5/23,18.4,8,1,23.7,8,1,15.3,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,曇時々雨後晴,8,1,晴後薄曇,8,1
2020/5/24,20.8,8,1,26.5,8,1,15.8,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴一時曇,8,1,曇時々晴,8,1
2020/5/25,21.6,8,1,26.5,8,1,18.1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,薄曇,8,1,曇一時晴,8,1
2020/5/26,20.9,8,1,24.3,8,1,18.6,8,1,0.5,0,8,1,0,1,8,1,0,1,8,1,曇後雨,8,1,曇時々雨,8,1
2020/5/27,21.4,8,1,26.6,8,1,18.4,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,曇一時晴,8,1,曇,8,1
2020/5/28,19.4,8,1,25.2,8,1,12.9,8,1,9.5,0,8,1,0,1,8,1,0,1,8,1,曇時々晴一時雨、雷を伴う,8,1,晴一時曇,8,1
2020/5/29,20.7,8,1,27.4,8,1,14.1,8,1,0,1,8,1,0,1,8,1,0,1,8,1,晴,8,1,晴時々薄曇,8,1
2020/5/30,22.0,8,1,27.9,8,1,17.4,8,1,0,1,8,1,0,1,8,1,0,1,8,1,薄曇時々晴,8,1,薄曇時々晴,8,1
2020/5/31,21.3,8,1,24.5,8,1,18.8,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,曇,8,1,曇後一時雨,8,1
2020/6/1,19.6,8,1,21.2,8,1,18.5,8,1,4.0,0,8,1,0,1,8,1,0,1,8,1,雨時々曇,8,1,曇時々雨,8,1
2020/6/2,22.3,8,1,26.6,8,1,18.9,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,曇後一時晴,8,1,曇,8,1
2020/6/3,24.0,8,1,28.5,8,1,20.9,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,薄曇,8,1,曇,8,1
2020/6/4,23.5,8,1,27.6,8,1,20.6,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,曇後一時晴,8,1,薄曇時々晴,8,1
2020/6/5,24.8,8,1,29.9,8,1,20.0,8,1,0,1,8,1,0,1,8,1,0,1,8,1,薄曇時々晴,8,1,薄曇,8,1
2020/6/6,24.2,8,1,28.4,8,1,18.8,8,1,6.5,0,8,1,0,1,8,1,0,1,8,1,曇、雷を伴う,8,1,雨時々曇、雷を伴う,8,1
2020/6/7,22.0,8,1,27.2,8,1,17.4,8,1,0.5,0,8,1,0,1,8,1,0,1,8,1,晴時々曇,8,1,曇一時晴,8,1
2020/6/8,23.2,8,1,28.3,8,1,19.7,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,晴時々曇,8,1,晴,8,1
2020/6/9,25.5,8,1,31.0,8,1,20.4,8,1,0,1,8,1,0,1,8,1,0,1,8,1,薄曇,8,1,薄曇後時々晴,8,1
2020/6/10,26.2,8,1,31.4,8,1,21.8,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,晴後一時曇,8,1,晴一時雨後時々曇,8,1
2020/6/11,25.1,8,1,30.5,8,1,22.7,8,1,10.0,0,8,1,0,1,8,1,0,1,8,1,曇後雨,8,1,雨時々曇,8,1
2020/6/12,26.2,8,1,31.6,8,1,22.9,8,1,5.5,0,8,1,0,1,8,1,0,1,8,1,曇一時晴,8,1,曇時々雨,8,1
2020/6/13,21.3,8,1,24.3,8,1,19.1,8,1,35.5,0,8,1,0,1,8,1,0,1,8,1,大雨,8,1,雨時々曇,8,1
2020/6/14,21.7,8,1,24.0,8,1,19.9,8,1,5.5,0,8,1,0,1,8,1,0,1,8,1,雨時々曇,8,1,曇一時雨,8,1
2020/6/15,25.9,8,1,32.6,8,1,21.0,8,1,0,1,8,1,0,1,8,1,0,1,8,1,薄曇,8,1,晴後曇,8,1
2020/6/16,25.5,8,1,30.5,8,1,21.8,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,曇後晴,8,1,晴一時雨,8,1
